X-Koordinate;Y-Koordinate
17644.24601241;18307.00058413
22699.24601241;18307.00058413
22699.74601241;3393.00000000
27720.35102824;18307.00058413
33810.70208943;18307.00058413
57.50000000;5065.00000000
57.50000000;14515.00000000
46487.50000000;6218.00000000
4645.00000000;19809.50004244
8015.00000000;19809.50004244
1990.00000000;19809.50004244
4645.00000000;-284.50000000
8015.00000000;-284.50000000
1927.50000000;-284.50000000
44052.50000000;18307.00058413
35729.74601241;3393.00000000
39314.74601241;3393.00000000
46487.50000000;13317.75000000
57.50000000;11477.50000000
57.50000000;8102.50000000
32272.24601241;3393.00000000
43537.24601241;3393.00000000
